Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
OPEL Crossland X 1.2 Innovation SS Auto,13490.0,17485.277,https://www.coches.net/opel-crossland-x-12-96kw-130cv-innovation-ss-auto-5p-gasolina-2020-en-vizcaya-70290198-covo.aspx,22.849379310406455
RENAULT Laguna Dynamique 2.0dCi,5999.0,7766.3086,https://www.coches.net/renault-laguna-dynamique-20dci-130cv-5p-diesel-2008-en-sevilla-70505151-covo.aspx,22.75609541413608
FORD Focus 1.0 Ecoboost MHEV Active Style SIP,19900.0,25737.34,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-active-style-sip-5p-electrico-hibrido-2022-en-vizcaya-70123942-covo.aspx,22.680431929594025
JEEP Renegade Trailhawk 4xe 1.3 PHEV 177kW240CV AT,18350.0,23650.2,https://www.coches.net/jeep-renegade-trailhawk-4xe-13-phev-177kw240cv-at-5p-electrico-hibrido-2022-en-malaga-70327683-covo.aspx,22.410801573916444
NISSAN Micra 1.2G 80 CV 25 ANIVERSARIO,4790.0,6165.8228,https://www.coches.net/nissan-micra-5p-12g-80-cv-25-aniversario-5p-gasolina-2009-en-madrid-70316375-covo.aspx,22.31369289742592
BMW Serie 3 320d Auto.Touring,22890.0,29441.62,https://www.coches.net/bmw-serie-3-320d-autotouring-5p-electrico-hibrido-2020-en-malaga-70357086-covo.aspx,22.25291723709839
LAND-ROVER Range Rover Evoque 2.0 D163 AUTO 4WD MHEV,24490.0,31473.678,https://www.coches.net/land-rover-range-rover-evoque-20-d163-auto-4wd-mhev-5p-electrico-hibrido-2021-en-barcelona-70485758-covo.aspx,22.188947199988483
FORD Fiesta 1.4 TDCi Trend,3480.0,4471.4463,https://www.coches.net/ford-fiesta-14-tdci-trend-5p-diesel-2009-en-jaen-62597730-covo.aspx,22.17283234481992
TOYOTA Corolla 140H Active Plus,16900.0,21700.08,https://www.coches.net/toyota-corolla-140h-active-plus-5p-electrico-hibrido-2023-en-madrid-70350667-covo.aspx,22.120103063415755
FORD S-MAX 2.0 TDCi DPF Titanium,8900.0,11427.638,https://www.coches.net/ford-s-max-20-tdci-140cv-dpf-titanium-5p-diesel-2012-en-valencia-70329308-covo.aspx,22.118636963344674
FORD Focus 1.0 Ecoboost MHEV Active,22690.0,29126.43,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-active-5p-electrico-hibrido-2023-en-huelva-70104560-covo.aspx,22.09824464088807
RENAULT Scénic Emotion 2008 1.5dCi85 EU4 eco2,3480.0,4464.992,https://www.coches.net/renault-scenic-emotion-2008-15dci85-eu4-eco2-5p-diesel-2008-en-jaen-70216351-covo.aspx,22.06033395215207
AUDI A3 Sportback 2.0 TDI Ambiente DPF,5490.0,7036.9854,https://www.coches.net/audi-a3-sportback-20-tdi-ambiente-dpf-5p-diesel-2007-en-jaen-70020587-covo.aspx,21.98363751345604
TOYOTA Verso 2.0 D4D Active 5pl.,8490.0,10881.661,https://www.coches.net/toyota-verso-20-d4d-active-5pl-5p-diesel-2011-en-castellon-62533446-covo.aspx,21.978823854390196
SMART fortwo 60kW81CV EQ coupe,9990.0,12802.925,https://www.coches.net/smart-fortwo-60kw81cv-eq-coupe-3p-electrico-hibrido-2021-en-madrid-70503036-covo.aspx,21.97095466543404
OPEL Corsa 1.4 Turbo SS Color Edition,7990.0,10237.974,https://www.coches.net/opel-corsa-14-turbo-ss-74kw-100cv-color-edition-5p-gasolina-2018-en-valencia-62154334-covo.aspx,21.957212564093638
AUDI Q7 3.0 TDI quattro tiptronic Ambition,10999.0,14080.578,https://www.coches.net/audi-q7-30-tdi-240cv-quattro-tiptronic-ambition-5p-diesel-2011-en-sevilla-70487134-covo.aspx,21.885309663022092
KIA Picanto 1.0 DPi Concept Pack Comfort,9500.0,12155.223,https://www.coches.net/kia-picanto-10-dpi-49kw-67cv-concept-pack-comfort-5p-gasolina-2021-en-cadiz-70499155-covo.aspx,21.844294681716352
BMW Serie 1 120d,32900.0,42086.008,https://www.coches.net/bmw-serie-1-120d-5p-electrico-hibrido-2025-en-toledo-70374896-covo.aspx,21.82675024303839
VOLVO XC60 2.0 T5 Summum Auto,18900.0,24174.57,https://www.coches.net/volvo-xc60-20-t5-summum-auto-5p-gasolina-2017-en-malaga-70280524-covo.aspx,21.818672449258244
AUDI A4 2.0 TDI Avant,14990.0,19148.143,https://www.coches.net/audi-a4-20-tdi-110kw-150cv-avant-5p-diesel-2018-en-valencia-70462483-covo.aspx,21.71564453920088
