Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
CUPRA,CUPRA León SP 1.5 TSI,27.500 €,2024,24.243 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/cupra-leon-sp-15-tsi-110kw-150cv-5p-gasolina-2025-en-guipuzcoa-61746902-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan Life 1.5 TSI,34.900 €,2024,16.194 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/volkswagen-tiguan-life-15-tsi-110kw-150cv-5p-gasolina-2024-en-guipuzcoa-61852484-covo.aspx
BMW,BMW Serie 3 320d,12.000 €,2008,279.180 km,Diesel,177 cv,A Coruña,https://www.coches.net/bmw-serie-3-320d-2p-diesel-2009-en-a-coruna-62296357-covo.aspx
PORSCHE,PORSCHE Panamera 4S EHybrid,148.900 €,2025,11.000 km,Híbrido enchufable,544 cv,Alicante,https://www.coches.net/porsche-panamera-4s-ehybrid-5p-electrico-hibrido-2026-en-alicante-62433443-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ GLA GLA 200 D,33.700 €,2020,77.000 km,Diesel,150 cv,Murcia,https://www.coches.net/mercedes-benz-gla-gla-200-d-5p-diesel-2020-en-murcia-62548354-covo.aspx
VOLKSWAGEN,VOLKSWAGEN T-Roc Life 1.5 TSI DSG,27.900 €,2024,37.900 km,Gasolina,150 cv,Gipuzkoa,https://www.coches.net/volkswagen-t-roc-life-15-tsi-110kw-150cv-dsg-5p-gasolina-2024-en-guipuzcoa-62562788-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Life 2.0 TDI,16.500 €,2022,160.000 km,Diesel,115 cv,Badajoz,https://www.coches.net/volkswagen-golf-life-20-tdi-85kw-115cv-5p-diesel-2023-en-badajoz-62623047-covo.aspx
SKODA,SKODA Octavia Combi 2.0 TDI DSG Style,14.900 €,2021,160.000 km,Diesel,150 cv,Badajoz,https://www.coches.net/skoda-octavia-combi-20-tdi-110kw-150cv-dsg-style-5p-diesel-2022-en-badajoz-62640600-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 220 CDI Blue Efficiency Avantgarde,12.750 €,2011,196.000 km,Diesel,170 cv,Alicante,https://www.coches.net/mercedes-benz-clase-c-c-220-cdi-blue-efficiency-avantgarde-4p-diesel-2012-en-alicante-70004543-covo.aspx
BMW,BMW X2 xDrive18d,22.750 €,2019,85.067 km,Diesel,150 cv,Murcia,https://www.coches.net/bmw-x2-xdrive18d-5p-diesel-2019-en-murcia-70009959-covo.aspx
