Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
CUPRA,CUPRA León 1.5 TSI eHybrid 150W DSG,39.900 €,2025,10 km,Híbrido enchufable,204 cv,Málaga,2026-05-11 13:41:28,CERO,https://www.coches.net/cupra-leon-15-tsi-ehybrid-150w-204cv-dsg-5p-electrico-hibrido-2025-en-malaga-61772467-covo.aspx
CUPRA,CUPRA León SP 1.5 TSI,26.900 €,2024,11.199 km,Gasolina,150 cv,Málaga,2026-05-11 13:41:28,C,https://www.coches.net/cupra-leon-sp-15-tsi-110kw-150cv-5p-gasolina-2025-en-malaga-61826959-covo.aspx
CUPRA,CUPRA León SP 1.5 TSI,26.900 €,2024,15.151 km,Gasolina,150 cv,Málaga,2026-05-11 13:41:28,C,https://www.coches.net/cupra-leon-sp-15-tsi-110kw-150cv-5p-gasolina-2025-en-malaga-61826960-covo.aspx
CUPRA,CUPRA Born 231 CV 58kWh EBoost Pack,29.900 €,2023,10 km,Eléctrico,231 cv,Málaga,2026-05-11 13:41:28,CERO,https://www.coches.net/cupra-born-170kw-231-cv-58kwh-eboost-pack-5p-electrico-hibrido-2023-en-malaga-61850814-covo.aspx
CUPRA,CUPRA Terramar 1.5 eTSI 150 CV DSG,43.900 €,2025,4788 km,Híbrido,150 cv,Málaga,2026-05-11 13:41:28,ECO,https://www.coches.net/cupra-terramar-15-etsi-110kw-150-cv-dsg-5p-electrico-hibrido-2025-en-malaga-61863783-covo.aspx
NISSAN,NISSAN JUKE 1.5 dCi ACENTA,7.999 €,2016,220.000 km,Diesel,110 cv,Málaga,2026-05-11 13:41:28,C,https://www.coches.net/nissan-juke-15-dci-acenta-5p-diesel-2016-en-malaga-61914580-covo.aspx
FIAT,FIAT 500C Dolcevita 1.0 Hybrid 70 CV,13.400 €,2021,68.697 km,Híbrido,70 cv,Málaga,2026-05-11 13:41:28,ECO,https://www.coches.net/fiat-500c-dolcevita-10-hybrid-51kw-70-cv-2p-electrico-hibrido-2021-en-malaga-62066228-covo.aspx
RENAULT,RENAULT Mégane TECH ROAD Energy TCe,12.985 €,2019,86.607 km,Gasolina,130 cv,Sta. C. Tenerife,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/renault-megane-tech-road-energy-tce-97kw-130cv-5p-gasolina-2017-en-sta-c-tenerife-62173792-covo.aspx
OPEL,OPEL Astra 1.2T XHL Edition,13.985 €,2022,60.588 km,Gasolina,110 cv,Sta. C. Tenerife,2026-05-11 13:41:28,C,https://www.coches.net/opel-astra-12t-xhl-81kw-110cv-edition-5p-gasolina-2022-en-sta-c-tenerife-62271493-covo.aspx
NISSAN,NISSAN Townstar 5 plazas 45kwh L1 NConnecta,34.500 €,2025,100 km,Eléctrico,122 cv,Barcelona,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/km-0/nissan/townstar/barcelona/5-plazas-45kwh-90kw-l1-nconnecta-electrico-hibrido-de-km0-62301820-kovn.aspx
VOLVO,VOLVO EX30 Single Motor Extended Range Core Auto,26.985 €,2024,19.049 km,Eléctrico,272 cv,Sta. C. Tenerife,2026-05-11 13:41:28,CERO,https://www.coches.net/volvo-ex30-single-motor-extended-range-core-auto-5p-electrico-hibrido-2025-en-sta-c-tenerife-62307124-covo.aspx
TOYOTA,TOYOTA Corolla 2.0 180H GRSPORT ECVT,25.899 €,2021,99.316 km,Híbrido,184 cv,Granada,2026-05-11 13:41:28,ECO,https://www.coches.net/toyota-corolla-20-180h-grsport-ecvt-5p-electrico-hibrido-2022-en-granada-62322364-covo.aspx
JAGUAR,JAGUAR F-Pace 2.0L i4D Portfolio Auto,22.985 €,2019,114.452 km,Diesel,180 cv,Sta. C. Tenerife,2026-05-11 13:41:28,C,https://www.coches.net/jaguar-f-pace-20l-i4d-132kw-portfolio-auto-5p-diesel-2019-en-sta-c-tenerife-62352254-covo.aspx
CITROEN,CITROEN C3 Aircross PureTech SS Feel,11.985 €,2022,71.576 km,Gasolina,110 cv,Sta. C. Tenerife,2026-05-11 13:41:28,C,https://www.coches.net/citroen-c3-aircross-puretech-81kw-110cv-ss-feel-5p-gasolina-2021-en-sta-c-tenerife-62384496-covo.aspx
FORD,FORD Puma 1.0 EcoBoost STLine X MHEV,25.390 €,2025,8350 km,Híbrido,125 cv,Murcia,2026-05-11 13:41:28,ECO,https://www.coches.net/km-0/ford/puma/murcia/10-ecoboost-125cv-stline-x-mhev-electrico-hibrido-de-demostracion-62402956-devn.aspx
LAND-ROVER,LAND-ROVER Defender 2.0 D200 SD4 SE 110 Auto 4WD,57.999 €,2020,59.500 km,Diesel,200 cv,Alicante,2026-05-11 13:41:28,C,https://www.coches.net/land-rover-defender-20-d200-sd4-se-110-auto-4wd-5p-diesel-2020-en-alicante-62408851-covo.aspx
NISSAN,NISSAN JUKE DIGT 114 CV 6MT NDesign,23.900 €,2025,1 km,Gasolina,114 cv,Barcelona,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/km-0/nissan/juke/barcelona/digt-84-kw-114-cv-6mt-ndesign-gasolina-de-km0-62413152-kovn.aspx
RENAULT,RENAULT 5 E-Tech Techno Autonomia Confort,29.600 €,2025,4900 km,Eléctrico,150 cv,Huesca,2026-05-11 13:41:28,CERO,https://www.coches.net/renault-5-e-tech-techno-110kw-150cv-autonomia-confort-5p-electrico-hibrido-2024-en-huesca-62422450-covo.aspx
AUDI,AUDI A3 Sportback 30 TFSI,17.985 €,2021,79.914 km,Gasolina,110 cv,Las Palmas,2026-05-11 13:41:28,C,https://www.coches.net/audi-a3-sportback-30-tfsi-81kw-110cv-5p-gasolina-2022-en-las-palmas-62437092-covo.aspx
VOLVO,VOLVO XC60 2.0 T8 AWD Inscription Auto,27.985 €,2020,116.043 km,Híbrido enchufable,390 cv,Las Palmas,2026-05-11 13:41:28,CERO,https://www.coches.net/volvo-xc60-20-t8-awd-inscription-auto-5p-electrico-hibrido-2020-en-las-palmas-62446330-covo.aspx
JEEP,JEEP Renegade Limited 4xe 1.3 PHEV 140kW190CV AT,19.985 €,2022,58.213 km,Híbrido enchufable,190 cv,Sta. C. Tenerife,2026-05-11 13:41:28,CERO,https://www.coches.net/jeep-renegade-limited-4xe-13-phev-140-kw190cv-at-5p-electrico-hibrido-2022-en-sta-c-tenerife-62514015-covo.aspx
PEUGEOT,PEUGEOT Rifter Active Pack Standard BlueHDi,11.490 €,2020,186.300 km,Diesel,100 cv,Valencia,2026-05-11 13:41:28,C,https://www.coches.net/peugeot-rifter-active-pack-standard-bluehdi-73kw-5p-diesel-2020-en-valencia-62540282-covo.aspx
RENAULT,RENAULT Clio Serie limitada Limited TCe,12.980 €,2021,76.738 km,Gasolina,90 cv,Málaga,2026-05-11 13:41:28,C,https://www.coches.net/renault-clio-serie-limitada-limited-tce-67-kw-91cv-5p-gasolina-2021-en-malaga-62554772-covo.aspx
FIAT,FIAT Panda Panda Hybrid 1.0,9.990 €,2023,70.000 km,Híbrido,70 cv,Sta. C. Tenerife,2026-05-11 13:41:28,ECO,https://www.coches.net/fiat-panda-panda-hybrid-10-51kw-70cv-5p-electrico-hibrido-2023-en-sta-c-tenerife-70125809-covo.aspx
KIA,KIA Sportage 1.7 CRDI VGT Drive Plus 4x2,14.000 €,2014,129.000 km,Diesel,115 cv,Málaga,2026-05-11 13:41:28,B,https://www.coches.net/kia-sportage-17-crdi-vgt-drive-plus-4x2-5p-diesel-2012-en-malaga-70135123-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Caddy Furgon 1.9 TDI 4motion,9.500 €,2010,240.000 km,Diesel,105 cv,Málaga,2026-05-11 13:41:28,B,https://www.coches.net/volkswagen-caddy-furgon-19-tdi-105cv-4motion-4p-diesel-2010-en-malaga-70135136-covo.aspx
NISSAN,NISSAN NOTE 1.5dCi Tekna Sport Pack Style,8.500 €,2015,122.000 km,Diesel,90 cv,Málaga,2026-05-11 13:41:28,B,https://www.coches.net/nissan-note-5p-15dci-90cv-tekna-sport-pack-style-5p-diesel-2015-en-malaga-70135137-covo.aspx
TOYOTA,TOYOTA C-HR 1.8 125H Advance,20.990 €,2022,119.896 km,Híbrido,122 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/toyota-c-hr-18-125h-advance-5p-electrico-hibrido-2022-en-madrid-70228306-covo.aspx
DACIA,DACIA Duster Prestige TCE 96kW130CV 4X2,19.490 €,2022,21.000 km,Gasolina,130 cv,Salamanca,2026-05-11 13:41:28,C,https://www.coches.net/dacia-duster-prestige-tce-96kw130cv-4x2-5p-gasolina-2021-en-salamanca-70260880-covo.aspx
NISSAN,NISSAN X-TRAIL 5pl 1.5 e4ORCE 4x4 AT NConnecta,35.900 €,2023,35.000 km,Híbrido,213 cv,Barcelona,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/nissan-x-trail-5pl-15-e4orce-158kw-4x4-at-nconnecta-5p-electrico-hibrido-2023-en-barcelona-70263318-covo.aspx
CUPRA,CUPRA León 1.5 eTSI DSG,26.990 €,2024,21.666 km,Híbrido,150 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/cupra-leon-15-etsi-110kw-150cv-dsg-5p-electrico-hibrido-2024-en-madrid-70604411-covo.aspx
