Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
BMW,BMW Serie 4 M4,49.900 €,2016,76.000 km,Gasolina,431 cv,Asturias,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-4-m4-2p-gasolina-2017-en-asturias-60682748-covo.aspx
PORSCHE,PORSCHE Panamera 4S EHybrid Sport Turismo,109.900 €,2021,38.000 km,Híbrido enchufable,560 cv,Asturias,2026-05-07 12:22:40,ECO,https://www.coches.net/porsche-panamera-4s-ehybrid-sport-turismo-5p-electrico-hibrido-2022-en-asturias-60750259-covo.aspx
PORSCHE,PORSCHE 911 GT3 Pack Touring,216.900 €,2022,24.000 km,Gasolina,510 cv,Asturias,2026-05-07 12:22:40,C,https://www.coches.net/porsche-911-gt3-pack-touring-2p-gasolina-2023-en-asturias-60788328-covo.aspx
BMW,BMW Serie 1 118d,13.500 €,2016,100.000 km,Diesel,150 cv,Murcia,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-1-118d-5p-diesel-2017-en-murcia-60829031-covo.aspx
BMW,BMW X6 xDrive30d,27.500 €,2016,180.000 km,Diesel,258 cv,Murcia,2026-05-07 12:22:40,C,https://www.coches.net/bmw-x6-xdrive30d-5p-diesel-2017-en-murcia-60887813-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase B B 200 d,21.900 €,2018,64.073 km,Diesel,136 cv,Jaén,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-b-b-200-d-5p-diesel-2018-en-jaen-61012216-covo.aspx
NISSAN,NISSAN X-TRAIL 5pl 1.5 e4ORCE 4x4 AT Tekna,37.900 €,2022,5500 km,Híbrido,213 cv,Jaén,2026-05-07 12:22:40,ECO,https://www.coches.net/nissan-x-trail-5pl-15-e4orce-158kw-4x4-at-tekna-5p-electrico-hibrido-2023-en-jaen-61034284-covo.aspx
MAZDA,MAZDA CX-3 1.5 SKYACTIV DE Luxury 2WD,14.500 €,2016,100.000 km,Diesel,105 cv,Murcia,2026-05-07 12:22:40,C,https://www.coches.net/mazda-cx-3-15-skyactiv-de-77kw-luxury-2wd-5p-diesel-2015-en-murcia-61145042-covo.aspx
BMW,BMW Serie 2 218d,18.990 €,2016,130.000 km,Diesel,150 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-2-218d-2p-diesel-2016-en-castellon-61379838-covo.aspx
AUDI,AUDI Q3 Sportback 35 TDI S tronic Black Lim.,48.900 €,2025,7149 km,Diesel,150 cv,Jaén,2026-05-07 12:22:40,C,https://www.coches.net/audi-q3-sportback-35-tdi-110kw-150cv-s-tronic-black-lim-5p-diesel-2025-en-jaen-61380799-covo.aspx
PORSCHE,PORSCHE Panamera Diesel Edition,38.990 €,2016,140.000 km,Diesel,300 cv,A Coruña,2026-05-07 12:22:40,B,https://www.coches.net/porsche-panamera-diesel-edition-5p-diesel-2016-en-a-coruna-61414323-covo.aspx
OPEL,OPEL Antara 2.2 CDTI 163 CV StartStop Selective 4X2,8.990 €,2011,184.000 km,Diesel,163 cv,A Coruña,2026-05-07 12:22:40,B,https://www.coches.net/opel-antara-22-cdti-163-cv-startstop-selective-4x2-5p-diesel-2012-en-a-coruna-61489629-covo.aspx
PEUGEOT,PEUGEOT 208 STYLE S 1.2L PureTech,8.990 €,2017,114.000 km,Gasolina,82 cv,A Coruña,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-208-5p-style-s-12l-puretech-60kw-82cv-5p-gasolina-2017-en-a-coruna-61489746-covo.aspx
AUDI,AUDI Q8 RS Q8 TFSI quattro tipt,99.990 €,2020,89.000 km,Gasolina,600 cv,A Coruña,2026-05-07 12:22:40,ECO,https://www.coches.net/audi-q8-rs-q8-tfsi-441kw-600cv-quattro-tipt-5p-gasolina-2021-en-a-coruna-61518181-covo.aspx
KIA,KIA XCeed 1.6 GDi PHEV eDrive,25.450 €,2023,15.361 km,Híbrido enchufable,141 cv,Sevilla,2026-05-07 12:22:40,CERO,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2023-en-sevilla-61536039-covo.aspx
BMW,BMW Serie 4 420d Automatica,22.490 €,2015,155.000 km,Diesel,190 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-4-420d-automatica-2p-diesel-2016-en-castellon-61555434-covo.aspx
PEUGEOT,PEUGEOT Rifter Active Pack Standard BlueHDi,11.990 €,2021,160.000 km,Diesel,100 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/peugeot-rifter-active-pack-standard-bluehdi-73kw-5p-diesel-2021-en-castellon-61620583-covo.aspx
OPEL,OPEL Antara 2.2 CDTI 163 CV StartStop Selective 4X2,7.500 €,2014,170.000 km,Diesel,163 cv,Murcia,2026-05-07 12:22:40,B,https://www.coches.net/opel-antara-22-cdti-163-cv-startstop-selective-4x2-5p-diesel-2015-en-murcia-61653293-covo.aspx
KIA,KIA XCeed 1.6 GDi PHEV eMotion,24.990 €,2022,10.917 km,Híbrido enchufable,141 cv,Sevilla,2026-05-07 12:22:40,CERO,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-emotion-5p-electrico-hibrido-2022-en-sevilla-61724140-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase GLA GLA 220 d 4MATIC,18.990 €,2018,180.000 km,Diesel,177 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-gla-gla-220-d-4matic-5p-diesel-2018-en-castellon-61751812-covo.aspx
RENAULT,RENAULT Espace Zen Energy dCi TT EDC,13.990 €,2016,170.000 km,Diesel,160 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/renault-espace-zen-energy-dci-118kw-160cv-tt-edc-5p-diesel-2016-en-castellon-61751887-covo.aspx
KIA,KIA Sportage 1.6 MHEV Drive Plus 4x2,21.240 €,2021,65.528 km,Híbrido,136 cv,Sevilla,2026-05-07 12:22:40,ECO,https://www.coches.net/kia-sportage-16-mhev-drive-plus-100kw-136cv-4x2-5p-electrico-hibrido-2021-en-sevilla-61837336-covo.aspx
KIA,KIA Sportage 1.6 CRDi MHEV Drive 4x2,27.090 €,2024,28.679 km,Híbrido,136 cv,Sevilla,2026-05-07 12:22:40,ECO,https://www.coches.net/kia-sportage-16-crdi-mhev-100kw-136cv-drive-4x2-5p-electrico-hibrido-2024-en-sevilla-61866191-covo.aspx
KIA,KIA Niro 1.6 GDi PHEV Drive,27.990 €,2024,20.335 km,Híbrido enchufable,183 cv,Sevilla,2026-05-07 12:22:40,CERO,https://www.coches.net/kia-niro-16-gdi-phev-135kw-183cv-drive-5p-electrico-hibrido-2024-en-sevilla-61872879-covo.aspx
